DateTime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
2007-03-12 01:11:27+00:00,6822331,I can feel my IQ falling as I watch more and more NBA.,AlmQ,0.0,0.0,0.0,0.0
2007-03-13 07:35:04+00:00,7308021,"Checking emails, about to play NBA Live",parabola,0.0,0.0,0.0,0.0
2007-03-12 22:29:03+00:00,7159761,"Sitting outside Charlotte Bobcats Arena, soaking up the day",flc,0.0,0.0,0.0,0.0
2007-03-14 20:57:46+00:00,7920941,Kings Fans!  Add the Sacramento Kings Dance Team to your friends list today!  ,SacramentoKings,0.0,0.0,1.0,1.0
2007-03-13 00:59:49+00:00,7215301,Have you added the Sacramento Kings Dance Team to your friends list????,SacramentoKings,1.0,1.0,0.0,0.0
2007-03-14 18:02:17+00:00,7863431,"wait...my bad...it's the Toronto Raptors vs. the Nicks (basketball, not baseball) shows you how much i know about sports!!",mistretta,0.0,0.0,0.0,0.0
2007-03-15 01:06:09+00:00,7999731,Phoenix suns,rwalker,0.0,0.0,0.0,0.0
2007-03-15 00:14:48+00:00,7982721,When I read a comment by Steve Rubel I think I'm at a Knicks game where they are beating the Detroit Pistons in triple overtime. :-),davewiner,0.0,0.0,0.0,0.0
2007-03-16 19:27:56+00:00,8691471,discovers for geekylucas that the circle below the hoop in NBA is an area within which a charging foul won't be called.,mattymcg,0.0,0.0,0.0,0.0
2007-03-17 20:52:53+00:00,9035791,"is heading into San Antonio to see the poor Celtics get their butts kicked by the Spurs. First time to see an NBA game live, pretty excited!",mattymcg,0.0,0.0,0.0,0.0
2007-03-17 04:25:53+00:00,8841351,@jeffb: Enjoy it. Durant is going pro after this season. He really only went to UT because the NBA put in  the new age limit.,kenziecreative,0.0,0.0,0.0,0.0
2007-03-18 20:51:55+00:00,9394771,"Playing NBA Street Homecourt (PS3)  L:Jacksonville, FL",Bwana,0.0,0.0,0.0,0.0
2007-03-18 04:34:57+00:00,9200341,"is delighted that the Celtics won and that it was a close and exciting game! Can finally tick ""see NBA game"" off my to-do-before-I-die list!",mattymcg,0.0,0.0,0.0,0.0
2007-03-18 03:30:25+00:00,9187401,NBA live 2007 while waiting for people in the house to wake up.,mikevillar,0.0,0.0,0.0,0.0
2007-03-18 04:16:12+00:00,9196701,"Denver nuggets gmae-30,000 people. USMC Silent Drill Platoon-24 people. The feeling of the roaring crowd-priceless.",schilp1986,0.0,0.0,1.0,0.0
2007-03-17 02:39:25+00:00,8819801,"Sitting in my hotel room in denver, nuggets halftime show tomorrow!",schilp1986,0.0,0.0,0.0,0.0
2007-03-19 05:01:11+00:00,9538751,Former NBA Star Opens New Gas Station and Car Wash (Convenience Store News) ,nerdymark,0.0,0.0,0.0,0.0
2007-03-20 16:36:30+00:00,10098961,"Craig, ur the man, thanks for all including the twitter invite.  check my nba badboy pipe pipes.yahoo.com/pipes/uNwJrjTJ2xGS2pc6kAtvUw",gfors,0.0,0.0,0.0,0.0
2007-03-20 01:51:15+00:00,9871491,considering playing a game... maybe nba street... maybe chrononauts.,VitaminM80,0.0,0.0,0.0,0.0
2007-03-21 02:09:54+00:00,10285991,"watching nba, rocket vs pacer",CuiJie,0.0,0.0,0.0,0.0
2007-03-22 22:59:45+00:00,11239411,"just got beat online in NBA 2K7...eating some pork chops while watching ""300""",nashp,0.0,0.0,0.0,0.0
2007-03-22 19:34:05+00:00,11162331,"Playing NBA 2K7, listening to Net@Nite.",tiedforlast,0.0,0.0,0.0,0.0
2007-03-22 00:46:44+00:00,10782381,Watching NBA Games.,omar12,0.0,0.0,0.0,0.0
2007-03-24 05:05:21+00:00,11922671,Currently watching my boy Rick Kamla on NBA TV Fantasy Hoops.,tiedforlast,0.0,0.0,0.0,0.0
2007-03-25 00:09:47+00:00,12255081,playing nba live,sigsegv,0.0,0.0,0.0,0.0
2007-03-26 22:47:56+00:00,13279561,stoked i made my fantasy nba playoffs,roycifer,0.0,0.0,0.0,0.0
2007-03-26 01:08:20+00:00,12724871,just got back from playing basketball...jumping in the shower...then playing nba 2k7..then putting on a movie and calling it a night...,nashp,0.0,0.0,0.0,0.0
