PosCt,NeuCt,NegCt,PosPer,NeuPer,NegPer,PosReply,PosRetweet,PosLike,PosQuote,NeuReply,NeuRetweet,NeuLike,NeuQuote,NegReply,NegRetweet,NegLike,NegQuote,Number Games,Total Attendance,MonDate_current,MonDate_next,Close_current,CLose_next,Label
0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,172172,2006-11-06,2006-11-13,1382.84,1393.22,1
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2006-11-13,2006-11-20,1393.22,1402.81,1
0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,177584,2006-12-11,2006-12-18,1411.56,1425.55,1
1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,426496,2006-12-18,2006-12-25,1425.55,1416.9,0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2006-12-25,2007-01-01,1416.9,1416.6,0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2007-01-01,2007-01-08,1416.6,1412.11,0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2007-01-15,2007-01-22,1431.9,1427.99,0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2007-01-22,2007-01-29,1427.99,1428.82,1
0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,233239,2007-01-29,2007-02-05,1428.82,1448.0,1
0,5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,485725,2007-02-05,2007-02-12,1448.0,1444.26,0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2007-02-12,2007-02-19,1444.26,1459.68,1
0,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,314358,2007-02-19,2007-02-26,1459.68,1399.04,0
0,6,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,298789,2007-02-26,2007-03-05,1399.04,1395.41,0
0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,321660,2007-03-05,2007-03-12,1395.41,1377.95,0
0,14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,47,832846,2007-03-12,2007-03-19,1377.95,1410.94,1
0,9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,647318,2007-03-19,2007-03-26,1410.94,1428.61,1
0,20,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46,836001,2007-03-26,2007-04-02,1428.61,1437.77,1
1,16,1,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,30,554503,2007-04-02,2007-04-09,1437.77,1448.39,1
1,25,1,0.037037037037037035,0.9259259259259259,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46,856135,2007-04-09,2007-04-16,1448.39,1471.48,1
1,47,1,0.02040816326530612,0.9591836734693877,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,517821,2007-04-16,2007-04-23,1471.48,1480.41,1
4,60,0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20,393869,2007-04-23,2007-04-30,1480.41,1486.3,1
1,80,1,0.012195121951219513,0.975609756097561,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,215968,2007-04-30,2007-05-07,1486.3,1507.72,1
4,44,1,0.08163265306122448,0.8979591836734694,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,185619,2007-05-07,2007-05-14,1507.72,1501.19,0
0,52,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,161130,2007-05-14,2007-05-21,1501.19,1524.12,1
0,25,1,0.0,0.9615384615384616,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,81346,2007-05-21,2007-05-28,1524.12,1518.11,0
1,30,0,0.03225806451612903,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,81997,2007-05-28,2007-06-04,1518.11,1530.95,1
