Date,Number Games,Total Attendance,Avg Attendance Per Game
2007-05-14,2,38829,19414.5
2007-05-15,2,41987,20993.5
2007-05-16,2,38984,19492
2007-05-17,1,23030,23030
2007-05-18,2,38829,19414.5
2007-05-20,1,18300,18300
2007-05-21,1,22076,22076
2007-05-22,1,18797,18797
2007-05-24,1,22076,22076
2007-05-26,1,19911,19911
2007-05-27,1,20562,20562
2007-05-28,1,19911,19911
2007-05-29,1,20562,20562
2007-05-30,1,18797,18797
2007-05-31,1,22076,22076
2007-06-02,1,20562,20562
2007-06-07,1,18797,18797
2007-06-10,1,18797,18797
2007-06-12,1,20562,20562
2007-06-14,1,20562,20562
2007-10-30,3,57626,19208.66667
2007-10-31,8,143541,17942.625
2007-11-01,3,56583,18861
2007-11-02,13,226555,17427.30769
2007-11-03,7,131960,18851.42857
2007-11-04,8,149190,18648.75
2007-11-05,1,20389,20389
2007-11-06,10,163582,16358.2
2007-11-07,9,144050,16005.55556
2007-11-08,3,54660,18220
2007-11-09,13,225089,17314.53846
2007-11-10,7,123101,17585.85714
2007-11-11,7,104475,14925
2007-11-12,3,51898,17299.33333
2007-11-13,8,129855,16231.875
2007-11-14,13,199945,15380.38462
2007-11-15,2,38890,19445
2007-11-16,12,193411,16117.58333
2007-11-17,10,168813,16881.3
2007-11-18,4,69294,17323.5
2007-11-19,4,53127,13281.75
2007-11-20,8,131749,16468.625
2007-11-21,13,220075,16928.84615
2007-11-23,12,220242,18353.5
2007-11-24,10,167433,16743.3
2007-11-25,5,86662,17332.4
2007-11-26,7,110322,15760.28571
2007-11-27,7,119537,17076.71429
2007-11-28,10,162354,16235.4
2007-11-29,3,57217,19072.33333
2007-11-30,11,187652,17059.27273
2007-12-01,7,114561,16365.85714
2007-12-02,8,138951,17368.875
2007-12-03,6,100439,16739.83333
2007-12-04,6,90232,15038.66667
2007-12-05,11,176494,16044.90909
2007-12-06,3,52367,17455.66667
2007-12-07,11,180803,16436.63636
2007-12-08,7,130108,18586.85714
2007-12-09,7,120010,17144.28571
2007-12-10,5,80006,16001.2
2007-12-11,8,132265,16533.125
2007-12-12,11,167936,15266.90909
2007-12-13,2,38597,19298.5
2007-12-14,12,206193,17182.75
2007-12-15,11,196351,17850.09091
2007-12-16,4,74551,18637.75
2007-12-17,8,138000,17250
2007-12-18,3,48667,16222.33333
2007-12-19,13,199095,15315
2007-12-20,3,56319,18773
2007-12-21,10,177654,17765.4
2007-12-22,9,144462,16051.33333
2007-12-23,5,96080,19216
2007-12-25,3,60086,20028.66667
2007-12-26,11,190291,17299.18182
2007-12-27,3,55405,18468.33333
2007-12-28,12,226216,18851.33333
2007-12-29,9,159227,17691.88889
2007-12-30,6,113345,18890.83333
2007-12-31,8,130932,16366.5
2008-01-02,12,201972,16831
2008-01-03,3,59333,19777.66667
2008-01-04,12,210111,17509.25
2008-01-05,6,115257,19209.5
2008-01-06,8,133821,16727.625
2008-01-07,2,37529,18764.5
2008-01-08,9,141863,15762.55556
2008-01-09,11,191802,17436.54545
2008-01-10,3,51201,17067
2008-01-11,11,190935,17357.72727
2008-01-12,7,126935,18133.57143
2008-01-13,6,105125,17520.83333
2008-01-14,7,112458,16065.42857
2008-01-15,8,129553,16194.125
2008-01-16,8,122280,15285
2008-01-17,3,52749,17583
2008-01-18,10,186939,18693.9
2008-01-19,11,195733,17793.90909
2008-01-20,1,18422,18422
2008-01-21,13,223508,17192.92308
2008-01-22,2,27735,13867.5
2008-01-23,12,185786,15482.16667
2008-01-24,3,53463,17821
2008-01-25,13,243196,18707.38462
2008-01-26,4,67543,16885.75
2008-01-27,10,177679,17767.9
2008-01-28,4,61613,15403.25
2008-01-29,9,148235,16470.55556
2008-01-30,10,155102,15510.2
2008-01-31,4,72231,18057.75
2008-02-01,9,157340,17482.22222
2008-02-02,8,130660,16332.5
2008-02-03,2,42249,21124.5
2008-02-04,9,148794,16532.66667
2008-02-05,5,73563,14712.6
2008-02-06,11,203420,18492.72727
2008-02-07,3,52101,17367
2008-02-08,11,205003,18636.63636
2008-02-09,7,120527,17218.14286
2008-02-10,7,129464,18494.85714
2008-02-11,7,115389,16484.14286
2008-02-12,6,98305,16384.16667
2008-02-13,14,233801,16700.07143
2008-02-14,2,40214,20107
2008-02-19,10,179277,17927.7
2008-02-20,10,159970,15997
2008-02-21,3,50082,16694
2008-02-22,13,238217,18324.38462
2008-02-23,7,132643,18949
2008-02-24,8,151633,18954.125
2008-02-25,6,97439,16239.83333
2008-02-26,8,132104,16513
2008-02-27,10,163329,16332.9
2008-02-28,3,51828,17276
2008-02-29,12,227063,18921.91667
2008-03-01,5,85418,17083.6
2008-03-02,11,184947,16813.36364
2008-03-03,3,54069,18023
2008-03-04,8,143312,17914
2008-03-05,12,199161,16596.75
2008-03-06,3,60150,20050
2008-03-07,12,214305,17858.75
2008-03-08,10,189554,18955.4
2008-03-09,5,95732,19146.4
2008-03-10,7,132857,18979.57143
2008-03-11,6,98792,16465.33333
2008-03-12,11,199574,18143.09091
2008-03-13,3,51928,17309.33333
2008-03-14,10,186993,18699.3
2008-03-15,8,149689,18711.125
2008-03-16,7,133232,19033.14286
2008-03-17,8,118487,14810.875
2008-03-18,7,133409,19058.42857
2008-03-19,10,168882,16888.2
2008-03-20,3,62846,20948.66667
2008-03-21,10,184541,18454.1
2008-03-22,11,193442,17585.63636
2008-03-23,4,79381,19845.25
2008-03-24,8,142050,17756.25
2008-03-25,6,110252,18375.33333
2008-03-26,12,206774,17231.16667
2008-03-27,3,60055,20018.33333
2008-03-28,11,192525,17502.27273
2008-03-29,6,121998,20333
2008-03-30,9,163423,18158.11111
2008-03-31,6,89455,14909.16667
2008-04-01,8,134812,16851.5
2008-04-02,10,161542,16154.2
2008-04-03,3,53249,17749.66667
2008-04-04,11,195861,17805.54545
2008-04-05,6,116517,19419.5
2008-04-06,10,172339,17233.9
2008-04-08,11,194754,17704.90909
2008-04-09,9,168544,18727.11111
2008-04-10,3,61199,20399.66667
2008-04-11,12,227974,18997.83333
2008-04-12,9,162688,18076.44444
2008-04-13,6,119600,19933.33333
2008-04-14,8,144779,18097.375
2008-04-15,6,111711,18618.5
2008-04-16,14,263330,18809.28571
2008-04-19,4,75018,18754.5
2008-04-20,4,77216,19304
2008-04-21,2,38720,19360
2008-04-22,3,54171,18057
