Date,Close
2008-09-02,"1,277.58"
2008-08-29,"1,282.83"
2008-08-28,"1,300.68"
2008-08-27,"1,281.66"
2008-08-26,"1,271.51"
2008-08-25,"1,266.84"
2008-08-22,"1,292.20"
2008-08-21,"1,277.72"
2008-08-20,"1,274.54"
2008-08-19,"1,266.69"
2008-08-18,"1,278.60"
2008-08-15,"1,298.20"
2008-08-14,"1,292.93"
2008-08-13,"1,285.83"
2008-08-12,"1,289.59"
2008-08-11,"1,305.32"
2008-08-08,"1,296.32"
2008-08-07,"1,266.07"
2008-08-06,"1,289.19"
2008-08-05,"1,284.88"
2008-08-04,"1,249.01"
2008-08-01,"1,260.31"
2008-07-31,"1,267.38"
2008-07-30,"1,284.26"
2008-07-29,"1,263.20"
2008-07-28,"1,234.37"
2008-07-25,"1,257.76"
2008-07-24,"1,252.54"
2008-07-23,"1,282.19"
2008-07-22,"1,277.00"
2008-07-21,"1,260.00"
2008-07-18,"1,260.68"
2008-07-17,"1,260.32"
2008-07-16,"1,245.36"
2008-07-15,"1,214.91"
2008-07-14,"1,228.30"
2008-07-11,"1,239.49"
2008-07-10,"1,253.39"
2008-07-09,"1,244.69"
2008-07-08,"1,273.70"
2008-07-07,"1,252.31"
2008-07-03,"1,262.90"
2008-07-02,"1,261.52"
2008-07-01,"1,284.91"
2008-06-27,"1,278.38"
2008-06-26,"1,283.15"
2008-06-25,"1,321.97"
2008-06-24,"1,314.29"
2008-06-23,"1,318.00"
2008-06-20,"1,317.93"
2008-06-19,"1,342.83"
2008-06-18,"1,337.81"
2008-06-17,"1,350.93"
2008-06-16,"1,360.14"
2008-06-13,"1,360.03"
2008-06-12,"1,339.87"
2008-06-11,"1,335.49"
2008-06-10,"1,358.44"
2008-06-09,"1,361.76"
2008-06-06,"1,360.68"
2008-06-05,"1,404.05"
2008-06-04,"1,377.20"
2008-06-03,"1,377.65"
2008-06-02,"1,385.67"
2008-05-30,"1,400.38"
2008-05-29,"1,398.26"
2008-05-28,"1,390.84"
2008-05-27,"1,385.35"
2008-05-23,"1,375.93"
2008-05-22,"1,394.35"
2008-05-21,"1,390.71"
2008-05-20,"1,413.40"
2008-05-19,"1,426.63"
2008-05-16,"1,425.35"
2008-05-15,"1,423.57"
2008-05-14,"1,408.66"
2008-05-13,"1,403.04"
2008-05-12,"1,403.58"
2008-05-09,"1,388.28"
2008-05-08,"1,397.68"
2008-05-07,"1,392.57"
2008-05-06,"1,418.26"
2008-05-05,"1,407.49"
2008-05-02,"1,413.90"
2008-05-01,"1,409.34"
2008-04-30,"1,385.59"
2008-04-29,"1,390.94"
2008-04-28,"1,396.37"
2008-04-25,"1,397.84"
2008-04-24,"1,388.82"
2008-04-23,"1,379.93"
2008-04-22,"1,375.94"
2008-04-21,"1,388.17"
2008-04-18,"1,390.33"
2008-04-17,"1,365.56"
2008-04-16,"1,364.71"
2008-04-15,"1,334.43"
2008-04-14,"1,328.32"
2008-04-11,"1,332.83"
2008-04-10,"1,360.55"
2008-04-09,"1,354.49"
2008-04-08,"1,365.54"
2008-04-07,"1,372.54"
2008-04-04,"1,370.40"
2008-04-03,"1,369.31"
2008-04-02,"1,367.53"
2008-04-01,"1,370.18"
2008-03-28,"1,315.22"
2008-03-27,"1,325.76"
2008-03-26,"1,341.13"
2008-03-25,"1,352.99"
2008-03-24,"1,349.88"
2008-03-20,"1,329.51"
2008-03-19,"1,298.42"
2008-03-18,"1,330.74"
2008-03-17,"1,276.60"
2008-03-14,"1,288.14"
2008-03-13,"1,315.48"
2008-03-12,"1,308.77"
2008-03-11,"1,320.65"
2008-03-10,"1,273.37"
2008-03-07,"1,293.37"
2008-03-06,"1,304.34"
2008-03-05,"1,333.70"
2008-03-04,"1,326.75"
2008-03-03,"1,331.34"
2008-02-29,"1,330.63"
2008-02-28,"1,367.68"
2008-02-27,"1,380.02"
2008-02-26,"1,381.29"
2008-02-25,"1,371.80"
2008-02-22,"1,353.11"
2008-02-21,"1,342.53"
2008-02-20,"1,360.03"
2008-02-19,"1,348.78"
2008-02-15,"1,349.99"
2008-02-14,"1,348.86"
2008-02-13,"1,367.21"
2008-02-12,"1,348.86"
2008-02-11,"1,339.13"
2008-02-08,"1,331.29"
2008-02-07,"1,336.91"
2008-02-06,"1,326.45"
2008-02-05,"1,336.64"
2008-02-04,"1,380.82"
2008-02-01,"1,395.42"
2008-01-31,"1,378.55"
2008-01-30,"1,355.81"
2008-01-29,"1,362.30"
2008-01-28,"1,353.96"
2008-01-25,"1,330.61"
2008-01-24,"1,352.07"
2008-01-23,"1,338.60"
2008-01-22,"1,310.50"
2008-01-18,"1,325.19"
2008-01-17,"1,333.25"
2008-01-16,"1,373.20"
2008-01-15,"1,380.95"
2008-01-14,"1,416.25"
2008-01-11,"1,401.02"
2008-01-10,"1,420.33"
2008-01-09,"1,409.13"
2008-01-08,"1,390.19"
2008-01-07,"1,416.18"
2008-01-04,"1,411.63"
2008-01-03,"1,447.16"
2008-01-02,"1,447.16"
