Date,Close
2012-12-28,"1,402.43"
2012-12-27,"1,418.10"
2012-12-26,"1,419.83"
2012-12-24,"1,426.66"
2012-12-21,"1,430.15"
2012-12-20,"1,443.69"
2012-12-19,"1,435.81"
2012-12-18,"1,446.79"
2012-12-17,"1,430.36"
2012-12-14,"1,413.58"
2012-12-13,"1,419.45"
2012-12-12,"1,428.48"
2012-12-11,"1,427.84"
2012-12-10,"1,418.55"
2012-12-07,"1,418.07"
2012-12-06,"1,413.94"
2012-12-05,"1,409.28"
2012-12-04,"1,407.05"
2012-12-03,"1,409.46"
2012-11-30,"1,416.18"
2012-11-29,"1,415.95"
2012-11-28,"1,409.93"
2012-11-27,"1,398.94"
2012-11-26,"1,406.29"
2012-11-23,"1,409.15"
2012-11-21,"1,391.03"
2012-11-20,"1,387.81"
2012-11-19,"1,386.89"
2012-11-16,"1,359.88"
2012-11-15,"1,353.33"
2012-11-14,"1,355.49"
2012-11-13,"1,374.53"
2012-11-12,"1,380.03"
2012-11-09,"1,379.85"
2012-11-08,"1,377.51"
2012-11-07,"1,394.53"
2012-11-06,"1,428.39"
2012-11-05,"1,417.26"
2012-11-02,"1,414.20"
2012-11-01,"1,427.59"
2012-10-31,"1,412.16"
2012-10-26,"1,411.94"
2012-10-25,"1,412.97"
2012-10-24,"1,408.75"
2012-10-23,"1,413.11"
2012-10-22,"1,433.82"
2012-10-19,"1,433.19"
2012-10-18,"1,457.34"
2012-10-17,"1,460.91"
2012-10-16,"1,454.92"
2012-10-15,"1,440.13"
2012-10-12,"1,428.59"
2012-10-11,"1,432.84"
2012-10-10,"1,432.56"
2012-10-09,"1,441.48"
2012-10-08,"1,455.88"
2012-10-05,"1,460.93"
2012-10-04,"1,461.40"
2012-10-03,"1,450.99"
2012-10-02,"1,445.75"
2012-10-01,"1,444.49"
2012-09-28,"1,440.67"
2012-09-27,"1,447.15"
2012-09-26,"1,433.32"
2012-09-25,"1,441.59"
2012-09-24,"1,456.89"
2012-09-21,"1,460.15"
2012-09-20,"1,460.26"
2012-09-19,"1,461.05"
2012-09-18,"1,459.32"
2012-09-17,"1,461.19"
2012-09-14,"1,465.77"
2012-09-13,"1,459.99"
2012-09-12,"1,436.56"
2012-09-11,"1,433.56"
2012-09-10,"1,429.08"
2012-09-07,"1,437.92"
2012-09-06,"1,432.12"
2012-09-05,"1,403.44"
2012-09-04,"1,404.94"
2012-08-31,"1,406.58"
2012-08-30,"1,399.48"
2012-08-29,"1,410.49"
2012-08-28,"1,409.30"
2012-08-27,"1,410.44"
2012-08-24,"1,411.13"
2012-08-23,"1,402.08"
2012-08-22,"1,413.49"
2012-08-21,"1,413.17"
2012-08-20,"1,418.13"
2012-08-17,"1,418.16"
2012-08-16,"1,415.51"
2012-08-15,"1,405.53"
2012-08-14,"1,403.93"
2012-08-13,"1,404.11"
2012-08-10,"1,405.87"
2012-08-09,"1,402.80"
2012-08-08,"1,402.22"
2012-08-07,"1,401.35"
2012-08-06,"1,394.23"
2012-08-03,"1,390.99"
2012-08-02,"1,365.00"
2012-08-01,"1,375.32"
2012-07-31,"1,379.32"
2012-07-30,"1,385.30"
2012-07-27,"1,385.97"
2012-07-26,"1,360.02"
2012-07-25,"1,337.89"
2012-07-24,"1,338.31"
2012-07-23,"1,350.52"
2012-07-20,"1,362.66"
2012-07-19,"1,376.51"
2012-07-18,"1,372.78"
2012-07-17,"1,363.67"
2012-07-16,"1,353.64"
2012-07-13,"1,356.78"
2012-07-12,"1,334.76"
2012-07-11,"1,341.45"
2012-07-10,"1,341.47"
2012-07-09,"1,352.46"
2012-07-06,"1,354.68"
2012-07-05,"1,367.58"
2012-07-03,"1,374.02"
