Date,Close
2009-12-30,"1,126.42"
2009-12-29,"1,126.20"
2009-12-28,"1,127.78"
2009-12-24,"1,126.48"
2009-12-23,"1,120.59"
2009-12-22,"1,118.02"
2009-12-21,"1,114.05"
2009-12-18,"1,102.47"
2009-12-17,"1,096.08"
2009-12-16,"1,109.18"
2009-12-15,"1,107.93"
2009-12-14,"1,114.11"
2009-12-11,"1,106.41"
2009-12-10,"1,102.35"
2009-12-09,"1,095.95"
2009-12-08,"1,091.94"
2009-12-07,"1,103.25"
2009-12-04,"1,105.98"
2009-12-03,"1,099.92"
2009-12-02,"1,109.24"
2009-12-01,"1,108.86"
2009-11-30,"1,095.63"
2009-11-27,"1,091.49"
2009-11-25,"1,110.63"
2009-11-24,"1,105.65"
2009-11-23,"1,106.24"
2009-11-20,"1,091.38"
2009-11-19,"1,094.90"
2009-11-18,"1,109.80"
2009-11-17,"1,110.32"
2009-11-16,"1,109.30"
2009-11-13,"1,093.48"
2009-11-12,"1,087.24"
2009-11-11,"1,098.51"
2009-11-10,"1,093.01"
2009-11-09,"1,093.08"
2009-11-06,"1,069.30"
2009-11-05,"1,066.63"
2009-11-04,"1,046.50"
2009-11-03,"1,045.41"
2009-11-02,"1,042.88"
2009-10-30,"1,036.19"
2009-10-29,"1,066.11"
2009-10-28,"1,042.63"
2009-10-27,"1,063.41"
2009-10-26,"1,066.95"
2009-10-23,"1,079.60"
2009-10-22,"1,092.91"
2009-10-21,"1,081.40"
2009-10-20,"1,091.06"
2009-10-19,"1,097.91"
2009-10-16,"1,087.68"
2009-10-15,"1,096.56"
2009-10-14,"1,092.02"
2009-10-13,"1,073.19"
2009-10-12,"1,076.19"
2009-10-09,"1,071.49"
2009-10-08,"1,065.48"
2009-10-07,"1,057.58"
2009-10-06,"1,054.72"
2009-10-05,"1,040.46"
2009-10-02,"1,025.21"
2009-10-01,"1,029.85"
2009-09-29,"1,060.61"
2009-09-28,"1,062.98"
2009-09-25,"1,044.38"
2009-09-24,"1,050.78"
2009-09-23,"1,060.87"
2009-09-22,"1,071.66"
2009-09-21,"1,064.66"
2009-09-18,"1,068.30"
2009-09-17,"1,065.49"
2009-09-16,"1,068.76"
2009-09-15,"1,052.63"
2009-09-14,"1,049.34"
2009-09-11,"1,042.73"
2009-09-10,"1,044.14"
2009-09-09,"1,033.37"
2009-09-08,"1,025.39"
2009-09-04,"1,016.40"
2009-09-03,"1,003.24"
2009-09-02,994.75
2009-09-01,998.04
2009-08-31,"1,020.62"
2009-08-28,"1,028.93"
2009-08-27,"1,030.98"
2009-08-26,"1,028.12"
2009-08-25,"1,028.00"
